_;_;x;x;x;x;x;x;x;x;x;x;_;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
_;x;x;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;x;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;MyObjectBuilder_SurvivalKit/SurvivalKitLarge;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;.;.;.;.;x;.;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;x;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;x;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;x;
x;.;.;.;MyObjectBuilder_CargoContainer/LargeBlockSmallContainer;.;.;MyObjectBuilder_Cockpit/LargeBlockCockpitSeat;.;.;.;.;.;.;.;MyObjectBuilder_CryoChamber/LargeBlockCryoChamber;.;.;.;.;.;MyObjectBuilder_SurvivalKit/SurvivalKitLarge;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;MyObjectBuilder_SurvivalKit/SurvivalKitLarge;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;
x;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;
x;.;MyObjectBuilder_CryoChamber/LargeBlockCryoChamber;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_CargoContainer/LargeBlockSmallContainer;.;.;.;.;.;.;.;.;.;x;_;
x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;
x;.;.;.;.;.;.;.;x;x;.;.;.;0;.;.;.;.;.;.;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;.;.;.;.;.;x;_;
x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;
x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;x;x;
x;.;.;.;.;.;.;.;x;.;.;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;p;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;x;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;_;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;x;x;.;.;.;.;.;.;.;.;.;x;x;_;_;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;x;x;x;
x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;MyObjectBuilder_ConveyorConnector/ConveyorTubeCurved;.;.;.;.;.;.;.;.;.;x;
_;_;x;x;x;.;.;MyObjectBuilder_CargoContainer/LargeBlockSmallContainer;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;x;x;x;.;.;.;.;.;MyObjectBuilder_Cockpit/LargeBlockCockpitSeat;.;.;.;.;.;.;.;.;.;.;.;MyObjectBuilder_Cockpit/LargeBlockCockpitSeat;.;.;.;.;.;.;.;.;x;
_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;x;x;x;.;.;.;.;.;.;.;MyObjectBuilder_Cockpit/LargeBlockCockpitSeat;.;.;.;.;.;.;.;MyObjectBuilder_CryoChamber/LargeBlockCryoChamber;.;MyObjectBuilder_SurvivalKit/SurvivalKitLarge;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;.;.;.;.;x;
_;_;_;x;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;_;x;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;_;x;x;.;.;x;x;_;x;x;.;.;.;.;.;x;x;x;x;.;.;.;MyObjectBuilder_BatteryBlock/LargeBlockBatteryBlock;.;.;.;.;.;x;x;
_;_;_;_;x;.;x;x;_;_;_;x;.;.;.;.;x;x;_;_;x;x;.;.;.;.;.;.;.;.;x;_;
_;_;_;_;x;x;x;_;_;_;_;x;x;x;x;x;x;_;_;_;_;x;x;x;x;x;x;x;x;x;x;_;
